Fusion_Strategy,Classifier,Accuracy,Precision,Recall,F1,ROC_AUC,DP_Gap_Gender,EOO_Gap_Gender,DI_Gender,DP_Gap_Ethnicity,EOO_Gap_Ethnicity,DI_Ethnicity
Baseline (Structured Only),LR,0.9665,0.9734,0.9583,0.9658,0.9966,0.0046,0.0008,0.9906,0.023,0.0075,0.9542
Baseline (Structured Only),MLP,0.9654,0.9642,0.9659,0.965,0.9964,0.0039,0.0011,0.9921,0.0198,0.0053,0.9608
Baseline (Structured Only),RF,0.9367,0.9367,0.9351,0.9359,0.9866,0.0115,0.0043,0.977,0.0218,0.0036,0.9572
Early Fusion,LR,0.9637,0.9665,0.9599,0.963198,0.995973,0.0074,0.0058,0.9851,0.0205,0.0033,0.9594
Early Fusion,MLP,0.9346,0.9432,0.9233,0.933106,0.987565,0.0058,0.0138,0.9882,0.0268,0.0024,0.9465
Early Fusion,RF,0.8087,0.7833,0.8474,0.814095,0.90334,0.0019,0.0056,0.9965,0.0472,0.0335,0.9155
Late Fusion,LR,0.961,0.9596,0.9616,0.960623,0.98803,0.0035,0.0027,0.993,0.0217,0.0119,0.9571
Late Fusion,MLP,0.9546,0.9503,0.9583,0.95424,0.988962,0.008,0.0008,0.9841,0.0143,0.0169,0.9717
Late Fusion,RF,0.9254,0.9171,0.9334,0.925198,0.97741,0.0137,0.0044,0.9732,0.02,0.0206,0.9611
Weighted Hybrid Fusion,LR,0.6754,0.6623,0.7003,0.680738,0.736642,0.0386,0.0275,0.9288,0.0507,0.0354,0.9079
Weighted Hybrid Fusion,MLP,0.6927,0.6771,0.723,0.699286,0.7571,0.0425,0.0335,0.9226,0.049,0.0283,0.9122
Weighted Hybrid Fusion,RF,0.6913,0.6824,0.7019,0.69202,0.750049,0.024,0.0293,0.9539,0.0379,0.0214,0.928
